Img Consulta 	 Img Detectada 	 Matches 	 Tiempo
Aatrox_0.jpg 	  	 0 	 2.416544198989868
Aatrox_1.jpg 	 Aatrox_1.jpg 	 9 	 3.264047622680664
Aatrox_11.jpg 	 Aatrox_11.jpg 	 3 	 2.571171522140503
Aatrox_2.jpg 	 Aatrox_2.jpg 	 14 	 3.2507293224334717
Aatrox_3.jpg 	 Aatrox_3.jpg 	 15 	 4.243115663528442
Aatrox_7.jpg 	  	 0 	 2.0700454711914062
Aatrox_8.jpg 	 Aatrox_8.jpg 	 77 	 6.977715492248535
Aatrox_9.jpg 	 Nocturne_6.jpg 	 28 	 4.609088182449341
Ahri_0.jpg 	 Ahri_0.jpg 	 40 	 5.264100790023804
Ahri_1.jpg 	 Ahri_1.jpg 	 12 	 3.6083366870880127
Ahri_14.jpg 	 Akali_0.jpg 	 16 	 3.1113171577453613
Ahri_15.jpg 	 Graves_7.jpg 	 17 	 4.792074680328369
Ahri_16.jpg 	  	 0 	 2.6623220443725586
Ahri_17.jpg 	 Ahri_17.jpg 	 106 	 0.1160438060760498
Ahri_2.jpg 	 Ahri_14.jpg 	 1 	 2.7821505069732666
Ahri_27.jpg 	 Brand_22.jpg 	 2 	 2.685593366622925
Ahri_28.jpg 	 Akali_32.jpg 	 1 	 2.8178467750549316
Ahri_3.jpg 	 Ahri_3.jpg 	 56 	 4.11246132850647
Ahri_4.jpg 	 Ahri_4.jpg 	 109 	 0.18803954124450684
Ahri_42.jpg 	 Ahri_42.jpg 	 20 	 3.7960047721862793
Ahri_5.jpg 	 Ahri_5.jpg 	 9 	 2.880692720413208
Ahri_6.jpg 	 Aatrox_11.jpg 	 1 	 2.28859281539917
Ahri_7.jpg 	 Ahri_7.jpg 	 29 	 4.076914310455322
Akali_0.jpg 	 Akali_0.jpg 	 43 	 4.133440017700195
Akali_1.jpg 	 Akali_1.jpg 	 103 	 0.1310272216796875
Akali_13.jpg 	 Hecarim_14.jpg 	 11 	 3.295307159423828
Akali_14.jpg 	  	 0 	 1.9764444828033447
Akali_15.jpg 	  	 0 	 2.365046262741089
Akali_2.jpg 	 Akali_2.jpg 	 17 	 3.2866404056549072
Akali_3.jpg 	 Ashe_8.jpg 	 1 	 2.6642727851867676
Akali_32.jpg 	 Akali_32.jpg 	 3 	 3.050703525543213
Akali_4.jpg 	 Ashe_7.jpg 	 3 	 2.8503847122192383
Akali_5.jpg 	 Akali_5.jpg 	 3 	 2.8276333808898926
Akali_50.jpg 	 Akali_50.jpg 	 6 	 2.9541821479797363
Akali_6.jpg 	  	 0 	 2.263507843017578
Akali_7.jpg 	 Akali_7.jpg 	 12 	 3.7273857593536377
